,,,,Test Case,,,,,,,,,
,Test ID,Test Category,Test Scenario,Distance (m),Barrier,Duration (min),Device A ,Device B,Orientation,Priority,Actual Result,Date Tested,Tester
"Distance only (goal: rough validation of DP3T results, baseline to compare vs. physical barriers)",,,,,,,,,,,,,
,A1,Distance only,"0m for 5min, no barrier, no phone case, iPhone 6s / SE",0,None,5,iPhone 6s / SE,Any iPhone,"1 (Side by side, facing up) ",P0,,,
,A2,Distance only,"0.5m for 5min, no barrier, no phone case, iPhone 6s / SE",0.5,None,5,iPhone 6s / SE,Any iPhone,"1 (Side by side, facing up) ",P0,,,
,A3,Distance only,"1m for 5min, no barrier, no phone case, iPhone 6s / SE",1,None,5,iPhone 6s / SE,Any iPhone,"1 (Side by side, facing up) ",P0,,,
,A4,Distance only,"1.5m for 5min, no barrier, no phone case, iPhone 6s / SE",1.5,None,5,iPhone 6s / SE,Any iPhone,"1 (Side by side, facing up) ",P0,,,
,A5,Distance only,"2m for 5min, no barrier, no phone case, iPhone 6s / SE",2,None,5,iPhone 6s / SE,Any iPhone,"1 (Side by side, facing up) ",P0,,,
,A6,Distance only,"3m for 5min, no barrier, no phone case, iPhone 6s / SE",3,None,5,iPhone 6s / SE,Any iPhone,"1 (Side by side, facing up) ",P0,,,
,A7,Distance only,"5m for 5min, no barrier, no phone case, iPhone 6s / SE",5,None,5,iPhone 6s / SE,Any iPhone,"1 (Side by side, facing up) ",P0,,,
,A8,Distance only,"0m for 5min, no barrier, no phone case, iPhone 11",0,None,5,iPhone 11,Any Android,"1 (Side by side, facing up) ",P0,,,
,A9,Distance only,"0.5m for 5min, no barrier, no phone case, iPhone 11",0.5,None,5,iPhone 11,Any Android,"1 (Side by side, facing up) ",P0,,,
,A10,Distance only,"1m for 5min, no barrier, no phone case, iPhone 11",1,None,5,iPhone 11,Any Android,"1 (Side by side, facing up) ",P0,,,
,A11,Distance only,"1.5m for 5min, no barrier, no phone case, iPhone 11",1.5,None,5,iPhone 11,Any Android,"1 (Side by side, facing up) ",P0,,,
,A12,Distance only,"2m for 5min, no barrier, no phone case, iPhone 11",2,None,5,iPhone 11,Any Android,"1 (Side by side, facing up) ",P0,,,
,A13,Distance only,"3m for 5min, no barrier, no phone case, iPhone 11",3,None,5,iPhone 11,Any Android,"1 (Side by side, facing up) ",P0,,,
,A14,Distance only,"5m for 5min, no barrier, no phone case, iPhone 11",5,None,5,iPhone 11,Any Android,"1 (Side by side, facing up) ",P0,,,
,A15,Distance only,"0m for 5min, no barrier, no phone case, iPhone 7 / XR / X",0,None,5,iPhone 7 / XR / X,Any iPhone,"1 (Side by side, facing up) ",P1,,,
,A16,Distance only,"0.5m for 5min, no barrier, no phone case, iPhone 7 / XR / X",0.5,None,5,iPhone 7 / XR / X,Any iPhone,"1 (Side by side, facing up) ",P1,,,
,A17,Distance only,"1m for 5min, no barrier, no phone case, iPhone 7 / XR / X",1,None,5,iPhone 7 / XR / X,Any iPhone,"1 (Side by side, facing up) ",P1,,,
,A18,Distance only,"1.5m for 5min, no barrier, no phone case, iPhone 7 / XR / X",1.5,None,5,iPhone 7 / XR / X,Any iPhone,"1 (Side by side, facing up) ",P1,,,
,A19,Distance only,"2m for 5min, no barrier, no phone case, iPhone 7 / XR / X",2,None,5,iPhone 7 / XR / X,Any iPhone,"1 (Side by side, facing up) ",P1,,,
,A20,Distance only,"3m for 5min, no barrier, no phone case, iPhone 7 / XR / X",3,None,5,iPhone 7 / XR / X,Any iPhone,"1 (Side by side, facing up) ",P1,,,
,A21,Distance only,"5m for 5min, no barrier, no phone case, iPhone 7 / XR / X",5,None,5,iPhone 7 / XR / X,Any iPhone,"1 (Side by side, facing up) ",P1,,,
,A22,Distance only,"0m for 5min, no barrier, no phone case, Samsung Galaxy S5 / other old Android",0,None,5,Samsung Galaxy S5 / other old Android,Any Android,"1 (Side by side, facing up) ",P0,,,
,A23,Distance only,"0.5m for 5min, no barrier, no phone case, Samsung Galaxy S5 / other old Android",0.5,None,5,Samsung Galaxy S5 / other old Android,Any Android,"1 (Side by side, facing up) ",P0,,,
,A24,Distance only,"1m for 5min, no barrier, no phone case, Samsung Galaxy S5 / other old Android",1,None,5,Samsung Galaxy S5 / other old Android,Any Android,"1 (Side by side, facing up) ",P0,,,
,A25,Distance only,"1.5m for 5min, no barrier, no phone case, Samsung Galaxy S5 / other old Android",1.5,None,5,Samsung Galaxy S5 / other old Android,Any Android,"1 (Side by side, facing up) ",P0,,,
,A26,Distance only,"2m for 5min, no barrier, no phone case, Samsung Galaxy S5 / other old Android",2,None,5,Samsung Galaxy S5 / other old Android,Any Android,"1 (Side by side, facing up) ",P0,,,
,A27,Distance only,"3m for 5min, no barrier, no phone case, Samsung Galaxy S5 / other old Android",3,None,5,Samsung Galaxy S5 / other old Android,Any Android,"1 (Side by side, facing up) ",P0,,,
,A28,Distance only,"5m for 5min, no barrier, no phone case, Samsung Galaxy S5 / other old Android",5,None,5,Samsung Galaxy S5 / other old Android,Any Android,"1 (Side by side, facing up) ",P0,,,
,A29,Distance only,"0m for 5min, no barrier, no phone case, Samsung Galaxy S8 / Google Pixel 2 / Moto G (5) Plus ",0,None,5,Samsung Galaxy S8 / Google Pixel 2 / Moto G (5) Plus ,Any iPhone,"1 (Side by side, facing up) ",P1,,,
,A30,Distance only,"0.5m for 5min, no barrier, no phone case, Samsung Galaxy S8 / Google Pixel 2 / Moto G (5) Plus ",0.5,None,5,Samsung Galaxy S8 / Google Pixel 2 / Moto G (5) Plus ,Any iPhone,"1 (Side by side, facing up) ",P1,,,
,A31,Distance only,"1m for 5min, no barrier, no phone case, Samsung Galaxy S8 / Google Pixel 2 / Moto G (5) Plus ",1,None,5,Samsung Galaxy S8 / Google Pixel 2 / Moto G (5) Plus ,Any iPhone,"1 (Side by side, facing up) ",P1,,,
,A32,Distance only,"1.5m for 5min, no barrier, no phone case, Samsung Galaxy S8 / Google Pixel 2 / Moto G (5) Plus ",1.5,None,5,Samsung Galaxy S8 / Google Pixel 2 / Moto G (5) Plus ,Any iPhone,"1 (Side by side, facing up) ",P1,,,
,A33,Distance only,"2m for 5min, no barrier, no phone case, Samsung Galaxy S8 / Google Pixel 2 / Moto G (5) Plus ",2,None,5,Samsung Galaxy S8 / Google Pixel 2 / Moto G (5) Plus ,Any iPhone,"1 (Side by side, facing up) ",P1,,,
,A34,Distance only,"3m for 5min, no barrier, no phone case, Samsung Galaxy S8 / Google Pixel 2 / Moto G (5) Plus ",3,None,5,Samsung Galaxy S8 / Google Pixel 2 / Moto G (5) Plus ,Any iPhone,"1 (Side by side, facing up) ",P1,,,
,A35,Distance only,"5m for 5min, no barrier, no phone case, Samsung Galaxy S8 / Google Pixel 2 / Moto G (5) Plus ",5,None,5,Samsung Galaxy S8 / Google Pixel 2 / Moto G (5) Plus ,Any iPhone,"1 (Side by side, facing up) ",P1,,,
,A36,Distance only,"0m for 5min, no barrier, no phone case, Samsung Galaxy S20 / other new Android",0,None,5,Samsung Galaxy S20 / other new Android,Any Android,"1 (Side by side, facing up) ",P1,,,
,A37,Distance only,"0.5m for 5min, no barrier, no phone case, Samsung Galaxy S20 / other new Android",0.5,None,5,Samsung Galaxy S20 / other new Android,Any Android,"1 (Side by side, facing up) ",P1,,,
,A38,Distance only,"1m for 5min, no barrier, no phone case, Samsung Galaxy S20 / other new Android",1,None,5,Samsung Galaxy S20 / other new Android,Any Android,"1 (Side by side, facing up) ",P1,,,
,A39,Distance only,"1.5m for 5min, no barrier, no phone case, Samsung Galaxy S20 / other new Android",1.5,None,5,Samsung Galaxy S20 / other new Android,Any Android,"1 (Side by side, facing up) ",P1,,,
,A40,Distance only,"2m for 5min, no barrier, no phone case, Samsung Galaxy S20 / other new Android",2,None,5,Samsung Galaxy S20 / other new Android,Any Android,"1 (Side by side, facing up) ",P1,,,
,A41,Distance only,"3m for 5min, no barrier, no phone case, Samsung Galaxy S20 / other new Android",3,None,5,Samsung Galaxy S20 / other new Android,Any Android,"1 (Side by side, facing up) ",P1,,,
,A42,Distance only,"5m for 5min, no barrier, no phone case, Samsung Galaxy S20 / other new Android",5,None,5,Samsung Galaxy S20 / other new Android,Any Android,"1 (Side by side, facing up) ",P1,,,
Duration only (goal: check how attenuation varies over time),,,,,,,,,,,,,
,B1,Duration only,"2m for 5min, no barrier, with phone case",2,None,5,Any,Any,"1 (Side by side, facing up) ",P0,,,
,B2,Duration only,"2m for 10min, no barrier, with phone case",2,None,10,Any,Any,"1 (Side by side, facing up) ",P2,,,
,B3,Duration only,"2m for 15min, no barrier, with phone case",2,None,15,Any,Any,"1 (Side by side, facing up) ",P0,,,
,B4,Duration only,"2m for 20min, no barrier, with phone case",2,None,20,Any,Any,"1 (Side by side, facing up) ",P2,,,
,B5,Duration only,"2m for 25min, no barrier, with phone case",2,None,25,Any,Any,"1 (Side by side, facing up) ",P2,,,
,B6,Duration only,"2m for 30min, no barrier, with phone case",2,None,30,Any,Any,"1 (Side by side, facing up) ",P2,,,
,B7,Duration only,"2m for 35min, no barrier, with phone case",2,None,35,Any,Any,"1 (Side by side, facing up) ",P2,,,
"Distance x material in between devices (goal: check attenuation for various physical barriers, where the physical barrier doesn't actually prevent exposure)",,,,,,,,,,,,,
x,C1,Dist. x non-blocking barrier,"Phone case only for both, 0m for 5min",0,Phone case only for both,5,Any,Any,"1 (Side by side, facing up) ",P0,,,
,C2,Dist. x non-blocking barrier,"Phone case only for both, 0.5m for 5min",0.5,Phone case only for both,5,Any,Any,"1 (Side by side, facing up) ",P0,,,
,C3,Dist. x non-blocking barrier,"Phone case only for both, 1m for 5min",1,Phone case only for both,5,Any,Any,"1 (Side by side, facing up) ",P0,,,
,C4,Dist. x non-blocking barrier,"Phone case only for both, 1.5m for 5min",1.5,Phone case only for both,5,Any,Any,"1 (Side by side, facing up) ",P0,,,
,C5,Dist. x non-blocking barrier,"Phone case only for both, 2m for 5min",2,Phone case only for both,5,Any,Any,"1 (Side by side, facing up) ",P0,,,
,C6,Dist. x non-blocking barrier,"Phone case only for both, 3m for 5min",3,Phone case only for both,5,Any,Any,"1 (Side by side, facing up) ",P1,,,
,C7,Dist. x non-blocking barrier,"Phone case only for both, 5m for 5min",5,Phone case only for both,5,Any,Any,"1 (Side by side, facing up) ",P1,,,
x,C8,Dist. x non-blocking barrier,"Metal laptop in between, 0m for 5min",0,Metal laptop in between,5,Any,Any,"1 (Side by side, facing up) ",P0,,,
,C9,Dist. x non-blocking barrier,"Metal laptop in between, 0.5m for 5min",0.5,Metal laptop in between,5,Any,Any,"1 (Side by side, facing up) ",P0,,,
,C10,Dist. x non-blocking barrier,"Metal laptop in between, 1m for 5min",1,Metal laptop in between,5,Any,Any,"1 (Side by side, facing up) ",P0,,,
,C11,Dist. x non-blocking barrier,"Metal laptop in between, 1.5m for 5min",1.5,Metal laptop in between,5,Any,Any,"1 (Side by side, facing up) ",P0,,,
,C12,Dist. x non-blocking barrier,"Metal laptop in between, 2m for 5min",2,Metal laptop in between,5,Any,Any,"1 (Side by side, facing up) ",P0,,,
,C13,Dist. x non-blocking barrier,"Metal laptop in between, 3m for 5min",3,Metal laptop in between,5,Any,Any,"1 (Side by side, facing up) ",P1,,,
,C14,Dist. x non-blocking barrier,"Metal laptop in between, 5m for 5min",5,Metal laptop in between,5,Any,Any,"1 (Side by side, facing up) ",P1,,,
x,C15,Dist. x non-blocking barrier,"Signal interference - one phone on active cellular call, 0m for 5min",0,Signal interference - one phone on active cellular call,5,Any,Any,"1 (Side by side, facing up) ",P0,,,
,C16,Dist. x non-blocking barrier,"Signal interference - one phone on active cellular call, 0.5m for 5min",0.5,Signal interference - one phone on active cellular call,5,Any,Any,"1 (Side by side, facing up) ",P0,,,
